year,close
1995,555
1996,556
1997,917
1998,1194
1999,1146
2000,1366
2001,2073
2002,1645
2003,1357
2004,1497
2005,1242
2006,1180
2007,2728
2008,5265
2009,1820
2010,3277
2011,2808
2012,2199
2013,2269
2014,2116
2015,3258
2016,3296
2017,3104
2018,3307
2019,2497
2020,3050
2021,3473
2022,3651
2023,3116
2024,2974
2025,3352
2026,3960
